network,address,name,txcount,create_date
mainnet,0x881d40237659c251811cec9c364ef91dc08d300c,MetaSwap,9148171,10/13/2020
mainnet,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,OMGToken,2868483,7/05/2017
mainnet,0xa5409ec958c83c3f309868babaca7c86dcb077c1,WyvernProxyRegistry,1737181,6/12/2018
mainnet,0x1522900b6dafac587d499a862861c0869be6e428,,1665794,8/17/2017
mainnet,0xa3c1e324ca1ce40db73ed6026c4a177f099b5770,Controller,1586444,8/13/2017
mainnet,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,Registrar,1562616,4/27/2017
mainnet,0x0000000000085d4780b73119b644ae5ecd22b376,OwnedUpgradeabilityProxy,1259780,1/01/2019
mainnet,0xa74476443119a942de498590fe1f2454d7d4ac0d,GolemNetworkToken,1028395,11/11/2016
mainnet,0x3819f64f282bf135d62168c1e513280daf905e06,Hedron,908537,2/20/2022
mainnet,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,AugustusSwapper,621159,8/18/2021
mainnet,0x9008d19f58aabd9ed0d60971565aa8510560ab41,GPv2Settlement,619737,6/08/2021
goerli,0xf0277caffea72734853b834afc9892461ea18474,SimpleSwapFactory,491463,2/05/2021
mainnet,0xba12222222228d8ba445958a75a0704d566bf2c8,Vault,462988,4/20/2021
mainnet,0x131a99859a8bfa3251d899f0675607766736ffae,,445504,2/14/2018
mainnet,0x0000000000b3f879cb30fe243b4dfee438691c04,GasToken2,281416,9/20/2017
mainnet,0x3ee18b2214aff97000d974cf647e7c347e8fa585,TokenBridge,262840,9/13/2021
mainnet,0xfc4913214444af5c715cc9f7b52655e788a569ed,Icosa,225145,8/15/2022
goerli,0xf890982f9310df57d00f659cf4fd87e65aded8d7,TokenBridge,218116,11/23/2021
mainnet,0xd077c09a7e65c4cca490a776d5e395fb4fe7179a,DataExchange,176360,9/18/2018
mainnet,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,DAO,174623,4/30/2016
mainnet,0xa6b71e26c5e0845f74c812102ca7114b6a896ab2,GnosisSafeProxyFactory,153778,5/25/2021
mainnet,0xa88800cd213da5ae406ce248380802bd53b47647,Settlement,143465,12/22/2022
mainnet,0xa68dd8cb83097765263adad881af6eed479c4a33,WTF,142744,1/13/2022
mainnet,0xedce883162179d4ed5eb9bb2e7dccf494d75b3a0,Controller,142605,4/14/2017
mainnet,0x61f33da40594cec1e3dc900faf99f861d01e2e7d,CybereitsToken,142366,1/11/2018
mainnet,0xe0b7927c4af23765cb51314a0e0521a9645f0e2a,Token,137147,4/27/2016
mainnet,0xe3818504c1b32bf1557b16c238b2e01fd3149c17,PillarToken,134077,7/15/2017
mainnet,0x9f89388141c632c4c6f36d1060d5f50604ee3abc,CATCrowdsale,132558,11/22/2017
mainnet,0x1bd435f3c054b6e901b7b108a0ab7617c808677b,AugustusSwapper,132122,4/03/2021
mainnet,0x51fe2e572e97bfeb1d719809d743ec2675924edc,Vlaunch,115050,12/10/2021
mainnet,0x5ee84583f67d5ecea5420dbb42b462896e7f8d06,PulseBitcoin,96181,10/21/2022
mainnet,0x26fb86579e371c7aedc461b2ddef0a8628c93d3b,BoraToken,86912,7/02/2018
mainnet,0x311f71389e3de68f7b2097ad02c6ad7b2dde4c71,Revolution,84183,9/04/2018
