Network,Address,Contract Name,Solidity Version,Tx Count,Create Date
mainnet,0xb6715606667f3b1164bced93faa030ceeffe7cb1,AliceNetFactory,0.8.16,16,8/23/2022
mainnet,0x758a3b3d8958d3794f2def31e943cdc449bb2fb9,AliceNetFactory,0.8.16,15,9/15/2022
mainnet,0x4b6df6b299fb6414f45719e0d9e1889269a7843e,AliceNetFactory,0.8.16+commit.07a7930e,44,12/13/2022
mainnet,0x00000000e82eb0431756271f0d00cfb143685e7b,MetamorphicContractFactory,0.5.6,128,4/08/2019
mainnet,0x8b850a4f6b5da45dd663aeda909f3a66d6c85f8a,AliceNetFactory,0.8.16+commit.07a7930e,0,
mainnet,0x5a291bbbb5b138601f1f217922b57057de628b4b,Lockup,0.8.16+commit.07a7930e,0,
mainnet,0x47b9d09fd8a6B3736F0C532682cC8e1E7E635dbB,,,18,8/11/2020
mainnet,0x9e6Fad864961806D1635d448Af05865dE5640fEa,,,3,11/25/2020
mainnet,0x3358614DA7453F565554df679Af3994Bb2405192,,,19,9/23/2020
mainnet,0x19bf8bedc2bbdcfd2b8f287f4120e4e50ddbca4b,,,5,11/25/2020
mainnet,0xc42462665F523C0E6EF57A6Ba56e60e1cD667231,,,17,12/5/2020
mainnet,0x055658Fa70d40a5fA3d0e3e66c29F7E7ADd08553,,,31,12/5/2020
mainnet,0x62a86D2850Ee76B579637f860DcF295692b62b54,,,5,12/12/2020
mainnet,0x50f9cf6E81b3fA9D83A146a91E09afC39cE51F13,,,10,1/12/2021
mainnet,0xa728165138a90c9403aa9a22053daa34b0302f42,,,9,6/6/2021
mainnet,0x6c0644Ad0D3a961608BA5459bCe291400E3207Ef,,,5,1/19/2021
mainnet,0x167f2d3222E2c27CA5E3D49c17eA41B13fcDc104,,,5,1/20/2021
mainnet,0x56Adb9b1Ee78f91Aab84C29aB4225270D8E71fA2,,,26,4/22/2021
mainnet,0xb8eea0963f9535a62b55C1417853d112cD93d78b,,,50,1/9/2021
mainnet,0x00000000c9329EAb0edE00C18accAD77DB00AA73,,,4,2/28/2019
mainnet,0x00000000002B13cCcEC913420A21e4D11b2DCd3C,,,9,4/7/2021
mainnet,0x5D462DA79064c82004Ac913179558C3106255d5B,,,56,9/24/2021
mainnet,0x0000000000C9DEE93D7eca6a304A192b4487482E,,,49,5/21/2021
mainnet,0x5aaa33de85c9daea4f9e216be937409849f80ecd,,,59,5/20/2021
mainnet,0xe886ef0d58dc6aa1abe20a0d262559d50e2f2400,,,55,12/5/2020
goerli,0x7670d3c27a3d02958388ca81b0874b9772facd61,AliceNetFactory,0.8.16,20,3/16/2023
goerli,0x6c6112dd6cbce7cfdb820ecc1810b9b8344c23df,AliceNetFactory,0.8.16,18,9/10/2022
goerli,0xc437d1117945ad802957613b49e4560759bbd4d1,AliceNetFactory,0.8.16,19,10/18/2022
goerli,0x05f4c6506f359a33e6dcd5df8a877f1094b1cf84,AliceNetFactory,0.8.16,2,10/18/2022
goerli,0x701fe7fb97fba183a991be1d1336a100c78a4f8a,AliceNetFactory,0.8.16,20,9/11/2022
goerli,0x2112b9f4812bf6ea8b3ce03cecadee8b9023ea97,AliceNetFactory,0.8.16,27,9/13/2022
goerli,0x2dcc10010dc62ad8c4007d00b2e35c1e62e7cd2b,AliceNetFactory,0.8.16,3,9/13/2022
goerli,0xe0d9c9120d28e3ce1f69323fd1f5c90f06714969,Lockup,0.8.16,0,12/07/2022
goerli,0x501ace677634fd09a876e88126076933b686967a,BondTellerErc20,0.8.6,16,1/29/2022
goerli,0x8f294de5b5c980335fd30106edc0f667b2e8fb40,AliceNetFactory,0.8.16,27,12/07/2022
goerli,0x2aff20bf9b3bf4f08cb2bbe4c7c08d7e02d3ac6c,AliceNetFactory,0.8.16,2,12/07/2022
goerli,0x8a6daa5e87951416b6e587701c5e8d1ec0b7bce5,AliceNetFactory,0.8.16,2,12/07/2022
goerli,0x449c56d33eb17127f18cccb846a4e2333d4b18fc,AliceNetFactory,0.8.16,12,12/06/2022
goerli,0xb37c91bd7cf2fa75c4760075a2342d6122f2fad2,AliceNetFactory,0.8.16,5,12/06/2022
goerli,0x1c109f0edec96d5d10cce90e34b654eefc218885,Lockup,0.8.16,0,1/28/2023
goerli,0xe142bab802b1eda3ed369fc8b8d58ffb912f1105,AliceNetFactory,0.8.16,55,1/27/2023
goerli,0xf0d3b6e77a79c636a88493339700748f38152659,AliceNetFactory,0.8.16,22,9/15/2022
goerli,0xcc6c5dd692794d771f2ee6ef2275e6b8903b48a7,Lockup,0.8.16,4,12/08/2022
goerli,0x3b89020198932655cf459f5d3821bb9637965d59,AliceNetFactory,0.8.16,24,12/08/2022
goerli,0x8e48f56983e3d4b568163e62b823fea61892ae57,AliceNetFactory,0.8.16,1,1/14/2023
goerli,0x59996a63fcaf235e7d6dbeffde172475bbebac0d,AliceNetFactory,0.8.16+commit.07a7930e,4,3/16/2023
goerli,0x07cf8f81852a58dd26fa19e69545f72e263347e5,HomeWorkDeployer,0.5.9+commit.e560f70d,3,6/05/2019
goerli,0x6f34a074dfa4762521e5ab1735ff6ec5d9d344e2,MetamorphicContractFactory,0.5.6+commit.b259423e,0,
goerli,0x49915025476878249ef5ff386501ee4c851e4db0,MetamorphicContractFactory,0.5.6+commit.b259423e,0,
goerli,0xc082547d716c0d00cb5121204de3ab119d3af378,MetamorphicContractFactory,0.5.6+commit.b259423e,0,
