Network,Address,Name,Solidity Version,Txcount,Create Date
mainnet,0xd166d58c086e086ba95113400ed7d021f11e78b7,HOWTokenFundraiser,v0.4.24,1,8/22/2018
mainnet,0x65d16ecca7609c8f596d36c40cd41c93635191d2,MultiSigWalletFactory,v0.4.18,2,11/12/2017
mainnet,0xbd34dc6d08560da7a34327455cec79833a363edc,Bunnyoshi,0.8.9,159,9/23/2022
mainnet,0x34e02bcf32c578fead586a5c6ab18a1d46aa9214,CraftyMetaverse,0.8.13,33,5/05/2022
mainnet,0x77a2f05cb71e2da093764dc83d7a59c1fe09f43a,PlatformToken,0.7.6,105,3/15/2022
mainnet,0x052d01d58729839b0fb9e321c63caf4f7a3de7fe,MainSale,v0.4.16,7,10/04/2017
mainnet,0xcd5c245a7fe35c5b638ac626ca258d33330d1e75,RenderTokenCrowdsale,v0.4.15,5827,10/05/2017
mainnet,0x94880ec24d7cfc37047466d25ee45b0bad9e6f7f,MotivationAI,0.8.15,95,3/02/2023
mainnet,0x4021e315e76dabb392056bdde69676eabfb35116,AtomTokenPreICO,v0.4.15,2,11/13/2017
mainnet,0x34d5d515c1a9824237b7f3946074ee0188c6ce8a,SevenDeadlySins,0.8.10,7,6/27/2022
mainnet,0x931684139f756c24ec0731e9f74fe50e5548ddef,UrbitToken,v0.4.24,368,8/21/2018
mainnet,0x064ccc4e93d4fd48b4064c76a15da17247528b23,AtomTokenPreICO,v0.4.15,1,11/13/2017
mainnet,0x15bec22b1e00e9fa3997f61cbbe444aea8a35890,TestTokenAPreICO,v0.4.15,4,11/13/2017
mainnet,0xc35dce7925cb3a33406abda3158a336f0a59cc0a,CryptoTicketsICO,v0.4.15,5129,10/06/2017
mainnet,0x86cfeb74146108f7988c790b6c3b3aa88fbbfd59,TestTokenAPreICO,v0.4.15,5,11/12/2017
mainnet,0xbd2ed3e85faa3433c068c7b3f9c8c7d839ce88d7,DecisionTokenSale,v0.4.17,1240,10/05/2017
mainnet,0x8aa32161c71fbaa6f71b65615f3d58dba883ba6f,ESCCrowdsale,v0.4.11,13,10/05/2017
mainnet,0xa1bc88ffea01abb1a8c04b7e12a1e940dfab7772,PackageCoinPresaleOne,v0.4.15,7,10/04/2017
mainnet,0xc79d47d548f9ae461234de7d0f44ca9e46c25e22,ESCCrowdsale,v0.4.11,5,10/04/2017
mainnet,0x25e3e38b52f604585a117abb2b408e64e1bdc074,SelfPayPreSale,v0.4.15,75,10/04/2017
mainnet,0xc0b1409a5c1a287250a3e974583d00a0010040e7,NatCoinCrowdsale,v0.4.11,31,8/16/2017
mainnet,0xa8bcd424a65c3667b7527724ec43ade5e71bf62b,ForwarderFactory,v0.4.13,2,10/04/2017
mainnet,0x1d9e50d4b18688865ebc6fed04dff1a97e932e2f,OrdinalEthereum,0.8.13,12,3/03/2023
