Network,Address,Name,Solidity Version,Txcount,Create Date
mainnet,0xef970a111dd6c281c40eee6c40b43f24435833c2,AllPairVault,0.8.3,2815,7/20/2021
mainnet,0x215890506f31eb0e573d7e75108c2e169c7b0ee7,OpenNFTsFactoryV3,0.8.9,13,11/01/2022
mainnet,0x917a23ced170a43a2d24e81fbd15b60b78fd99db,FeeDistributorFactory,0.8.10,4,11/01/2022
mainnet,0xd7a96c80ef97eda106aad53802b07b86beefaa71,Create3Factory,0.8.3,52,1/19/2023
mainnet,0xa7f2b177ab3c5c7c8a1e620a5b1fed73e2a56ef0,PaperAdapter,0.8.17,60,1/19/2023
mainnet,0xf2e51f87814412accec654765474eaa3ad89454e,CustomPricingCurve,0.8.3,1,10/20/2021
mainnet,0xd759242c2d596da6cc1b25085676003dd85db7f9,DefaultPricingCurve,0.8.3,1,10/20/2021
mainnet,0x97fc4072ab8c8c710a789a207bd48c7db75389a7,Deployer,0.8.7,3,5/05/2022
mainnet,0x9a374916ecea53f84f846c78950150e3bee0e59a,ManagedTokenFactory,0.8.16,5,1/19/2023
mainnet,0xd284be0f68fb78771dc4cd8fc11ba39b56bf4df1,ManagedTokenTreasuryFactory,0.8.16,5,1/19/2023
mainnet,0x086bed3c3566c0c65ec15f35783042823a23dec3,NounletRegistry,0.8.13,1,1/19/2023
mainnet,0x23b74796b72f995e14a5e3ff2156dad9653256cf,PairFactory,0.8.6,15,7/21/2021
mainnet,0x6088e245bf8024c67874e1bdc0b7e269aa8fe83c,ProxyFactory,0.6.12,1,10/18/2021
mainnet,0xdf9c10e2e9bb8968b908261d38860b1a038cc2ef,PLCRFactory,v0.4.23,3,5/24/2018
mainnet,0xe254c5cd48206f07009ed1c7837565707b317f15,OwnableEnsProxyFactory,0.8.9,1,3/15/2022
mainnet,0x19c9770a0cfbf1f3a21e6611f0682f2bfa53c672,P2PVaultFactory,0.8.17,4,12/11/2022
mainnet,0x16a3cde91df00f2f4d4e555caed9449d7ab4f87c,OrgFundFactory,0.8.13,1185,9/24/2022
mainnet,0xf88fd34ad1f4b6ef690a8abab9182b001199d85d,TeritoriMinterV2,0.8.4,28,3/02/2023
mainnet,0xb6b102ef4538ab86317573c8751bc9f446ee6e69,ERC721MerkleDropFactory,0.8.10,6,1/07/2022
mainnet,0x0f703b58fd8dc371f5b71184439212dff5161820,VestingFactory,0.8.13,2,5/06/2022
mainnet,0x3e9fcff3e490881855cbe07f23a674e91d163894,ZeroDevGnosisSafeAccountFactory,0.8.17,0,3/02/2023
mainnet,0xa293a91fd47ccfaac94ddd30e8e78af8500ec227,BitBrandNFTRepository,0.8.13,4,12/13/2022
mainnet,0x00fc4bb5349f1104d3252c36c308688651e3eb1f,PercentSplitETH,0.8.12,1,3/15/2022
mainnet,0xbc8d9caf4b6bf34773976c5707ad1f2778332dca,RewardFactory,0.6.12,1,12/13/2022
mainnet,0x3c2253ab95dd4a6f1a2fd2211866adaa422f0873,EIP2981RoyaltyOverrideFactory,0.8.7,8,10/22/2021
mainnet,0x3ec040dbf7d953216f4c89a2e665d5073445f5ba,TokenFactory,0.6.12,1,12/13/2022
mainnet,0xb7019c3670f5d4dd99166727a7d29f8a16f4f20a,SmartInvoiceFactory,0.8.3,5,7/11/2021
mainnet,0xd93951e3080abc899e1e24d048e5c2921e7b4456,NftSwapperFactory,0.8.4,9,8/12/2022
mainnet,0x954cdee7def963e6286603cf0a8c9d60bf7973a2,TokenFactory,0.7.6,3,4/28/2021
mainnet,0x35fffcf9acd04b1856f49889812815761e024385,MiniPAWSWAP,0.8.17,47,3/03/2023
mainnet,0x0a2841630f198745a55c4dab3fe98f77271949e5,VestingModuleFactory,0.8.13,3,5/06/2022
mainnet,0x5aa1c7f5f9d2e7f2664d3c1f454560c6dabed6c8,CollectionFactory,0.8.10,17,12/13/2022
mainnet,0x7d6d128473186f42ca5d3176a940d909adbc5ba9,DefiiFactory,0.8.10,7,3/03/2023
mainnet,0x1cb3391feff3806a6f7fa11b372cb70659304791,CoverPoolFactory,0.8.0,3,5/08/2021
mainnet,0xb9e25b584dc4a7c9d47aef577f111fbe5705773b,WithdrawalManagerFactory,0.8.7,3,12/07/2022
mainnet,0xe463cd473ecc1d1a4ecf20b62624d84dd20a8339,PoolManagerFactory,0.8.7,3,12/07/2022
mainnet,0x1551717ae4fdcb65ed028f7fb7aba39908f6a7a6,LoanManagerFactory,0.8.7,5,12/07/2022
mainnet,0x4e30235a3c556ff509cd4f71ad6168ec60c89b28,UnicFactory,0.6.12,76,5/07/2022
mainnet,0xf2ae6c67d8f75b8d90a0f5aa2a05f5e05bc528d9,GardenFactory,0.7.6,1,7/22/2021
mainnet,0xbeec4463d2114b5dc8dba1146fd8317f0380ffb8,CoCreateProjectFactory,0.8.17,1,12/14/2022
mainnet,0xabe1dcd1a1194c1951f75b7c9b54e563ac3ee845,PaymentSplitterFactory,0.8.15,15,8/14/2022
mainnet,0xce601555ce372e718bafe21a1aa1c60408d6ff6a,TokensController,0.8.17,2,1/20/2023
mainnet,0xfe655261ecc308c42efbb868f5bdf3f5d800b7cf,ShardwalletFactory,0.8.9,1,8/14/2022
mainnet,0x1f0e8a63b0e44ca9a668b0eab7e1e3edd3a8aaf3,StakeFactory,0.8.17,2,1/20/2023
mainnet,0xd672f1e3411c23edbb49e8eb6c6b1564b2bf8e17,TokenVaultV2,0.8.9,3,5/09/2022
mainnet,0xc5ec190a092fa8fe45c59ee2940235480ff61bf8,SchnoodleTimelockFactory,0.8.6,1,7/27/2021
mainnet,0x999e448096a823fe2b973f8e89a23abeb7123705,OtoCorp,0.8.0,71,10/26/2021
mainnet,0x91ce5566dc3170898c5aee4ae4dd314654b47415,InitializableClones,0.6.12,302,10/08/2021
mainnet,0xd6239b155eb29a34b7e277d89f2801c614f41021,FaucetFactory,0.8.12,1,9/26/2022
mainnet,0x4a3d172930850360e7db6f7c616741e985de7e7d,VestingWalletFactory,0.8.4,257,3/17/2022
mainnet,0x8b37893f470e0237e523b1efa0edfbc9dc445cf9,SchnoodleTimelockFactory,0.8.6,4,7/27/2021
mainnet,0x66f3d3210f84fe8cc2c77a1f001a395b2ae0b801,AngleVaultFactory,0.8.7,9,5/09/2022
mainnet,0xa83404caa79989fff1d84ba883a1b8187397866c,DebtLockerFactory,0.8.7,1,1/13/2022
mainnet,0x36a7350309b2eb30f3b908ab0154851b5ed81db0,MapleLoanFactory,0.8.7,155,1/13/2022
mainnet,0xb93bdd86df8abe5ead66820ac790a1f7a7fe399f,YieldSourcePrizePoolProxyFactory,0.6.12,1,7/28/2021
