Network,Address,Name,Solidity Version,Txcount,Create Date
mainnet,0x65d16ecca7609c8f596d36c40cd41c93635191d2,MultiSigWalletFactory,v0.4.18,2,11/12/2017
mainnet,0x6abc46b0706c798177cf9eb00e44f359ba31a8e0,VaultBuilder,0.7.6,1,4/29/2021
mainnet,0xef970a111dd6c281c40eee6c40b43f24435833c2,AllPairVault,0.8.3,2815,7/20/2021
mainnet,0x215890506f31eb0e573d7e75108c2e169c7b0ee7,OpenNFTsFactoryV3,0.8.9,13,11/01/2022
mainnet,0xd7a96c80ef97eda106aad53802b07b86beefaa71,Create3Factory,0.8.3,52,1/19/2023
mainnet,0xe302f509c4a3729791215f74299f1fa626396e5a,Indelible,0.8.14,211,1/19/2023
mainnet,0xa7f2b177ab3c5c7c8a1e620a5b1fed73e2a56ef0,PaperAdapter,0.8.17,60,1/19/2023
mainnet,0x4a8ac7f22ded2cf923a51e4a1c67490bd8868add,TieredDrop,0.8.12,2,3/03/2023
mainnet,0x5c622df7ce644caa989438916aed94019f8fc327,MirrorDutchAuctionFactory,0.8.6,8,10/21/2021
mainnet,0x086bed3c3566c0c65ec15f35783042823a23dec3,NounletRegistry,0.8.13,1,1/19/2023
mainnet,0xccf09a5a9449b8d39e27f7fcffbb1a30ec29c8db,VeTokenizedAssetRegistry,v0.4.13,23,11/08/2017
mainnet,0x181c20ac082aae3398b6e9164ec6926ac7dbf840,MultiTokenDeployer,v0.4.24,2,8/29/2018
mainnet,0x9559f8a57931b85567350cb50538ec0fc437f8c9,ControlDeployer,0.8.0,4,10/21/2021
mainnet,0xe254c5cd48206f07009ed1c7837565707b317f15,OwnableEnsProxyFactory,0.8.9,1,3/15/2022
mainnet,0xa15beb4876f20018b6b4a4116b7560c5fcc9336e,OrgV1Factory,0.8.0,52,6/16/2021
mainnet,0x16a3cde91df00f2f4d4e555caed9449d7ab4f87c,OrgFundFactory,0.8.13,1185,9/24/2022
mainnet,0xb6b102ef4538ab86317573c8751bc9f446ee6e69,ERC721MerkleDropFactory,0.8.10,6,1/07/2022
mainnet,0xa982ac4e2d7dc1c8e2859d63304ad141d9cd43bc,Indelible,0.8.14,51,1/19/2023
mainnet,0x6f655b9e1e79a8979ad5bf8f141f2fc4dc71540c,Vertex_Token,v0.4.24,51,9/24/2018
mainnet,0x9d713e0a2f6a1c9650083ebca27f4520cd2cde8e,TokenSale,v0.4.25,9,9/24/2018
mainnet,0xc0dc70048f678e0c9da82ad11cdc063aa081d950,DssSpell,0.6.12,3,10/23/2021
mainnet,0x48b7d830f5831905429a276bc977538fe20b4c9f,FeeMultiToken,v0.4.24,13,9/24/2018
mainnet,0x0e4a7da180f823b155f54c72b192565e04f60b7e,Vertex_Token,v0.4.24,1,9/24/2018
mainnet,0x894907c7ab64c1092620b5c8ba039bb6e611eba8,WitnetRandomness,0.8.13,9,5/06/2022
mainnet,0x9165e408cc615a545945d34a270e10e275cbc231,MultiTokenDeployer,v0.4.24,2,9/23/2018
mainnet,0x5aa1c7f5f9d2e7f2664d3c1f454560c6dabed6c8,CollectionFactory,0.8.10,17,12/13/2022
mainnet,0x97967c25f5a0de5cdc3c9d687ec3036c7b15252f,VideoPoker,v0.4.23,7289,5/21/2018
mainnet,0x82bde11f8e556c8bbfaff7267b181674f4efe188,ManeFactory,0.8.14,8,12/13/2022
mainnet,0xc5ed356eadd9863ef78f74155fa4bee1fc4ad879,DssSpell,0.6.12,3,5/07/2021
mainnet,0xd97677cdc4e5797fe68cf5b935c156399c2370e0,DssSpell,0.6.12,3,7/24/2021
mainnet,0x7e6d3b1161df9c9c7527f68d651b297d2fdb820b,FundDeployer,0.6.12,947,5/07/2021
mainnet,0x13b0d85ccb8bf860b6b79af3029fca081ae9bef2,Create2Deployer,0.8.9,100,1/10/2022
mainnet,0xaafe30517363036e10785dd6ba73de80eb582ba0,AaveV3EthereumInitialPayload,0.8.17,1,1/21/2023
mainnet,0xd67a415a55a11c128a04fed4b9c94cf61a633e7f,DssSpell,0.6.12,3,6/29/2022
mainnet,0x4a8eefabacefc77d1fc8dc9c738c23901a0051fa,NFTY,0.6.12,1,10/23/2021
mainnet,0x60e0b39d8df52d0c952e8aa8ab9febb9aafd3435,WyvernProxyRegistry,0.4.26,5,10/23/2021
mainnet,0xc7ed42b4321d4a5649ac84db76ffdb4a14dea039,PoolBuilder,0.7.6,1,4/29/2021
mainnet,0xcfcce65325d2c58125ccf82d7e12077ad1289bde,PiArtFactoryPrivate,0.6.12,7,2/19/2022
mainnet,0x1ca15ccdd91b55cd617a48dc9eefb98cae224757,StrangeAttractors,0.8.9,1058,10/25/2021
mainnet,0xd672f1e3411c23edbb49e8eb6c6b1564b2bf8e17,TokenVaultV2,0.8.9,3,5/09/2022
mainnet,0x529e199da79ced7ec1d987147ed61a2e71c5731a,MakerDaiDelegateCloner,0.6.12,2,10/26/2021
