Network,Address,Name,Solidity Version,Txcount,Create Date
mainnet,0xd7a96c80ef97eda106aad53802b07b86beefaa71,Create3Factory,0.8.3,52,1/19/2023
mainnet,0xbb681d77506df5ca21d2214ab3923b4c056aa3e2,DeterministicFactory,0.8.7,5,5/10/2022
mainnet,0x27d54d93c8f89988e20fc8ffd911218bac44a0f6,StakeableEulerERC4626Factory,0.8.16,7,12/22/2022
mainnet,0x55ff5daa42508b52f0e2e646f0ea868e382329d3,BluntDelegateCloner,0.8.17,0,3/17/2023
mainnet,0x440c0e5f3bed5d9eb2e7ba620225d86548c29d08,Create3Factory,0.8.3,30,11/12/2022
mainnet,0xa54c3bc982198d276cbfae6297e78a95fd22b060,ConfiguredGifImageRenderer,0.8.9,3,8/29/2022
mainnet,0x6fc0bba2f81c3652e48bd9bd0b2bf0ac6cfe7e9c,ChunkedDataStorage,0.8.9,19,8/29/2022
mainnet,0x6258e4d2950757a749a4d4683a7342261ce12471,DeployFactory,0.8.7,12,3/23/2023
mainnet,0xaf69cd63d098e0d6a92979a298f6294c9f767e60,ChunkedDataStorage,0.8.9,2,9/04/2022
mainnet,0x5147c6aee3000216aa864be92a6591f7d16b664a,Create3Deployer,0.8.17,2,2/14/2023
mainnet,0xe21f6b2a09bb27149e1afec31d05675bcf581fed,CREATE3Factory,0.8.16,8,2/15/2023
mainnet,0xe61e86735c044d76086310b2f3a6b917b984d5eb,CREATE3Factory,0.8.17,3,2/16/2023
mainnet,0x3c36637f84f48ab1587634b97304c2a683add325,ContractDeployer,0.8.9,3,6/11/2022
mainnet,0x1add4e55eceffd795b01d22203d280c93a2f1dc3,AddressToken,0.8.20,344,6/05/2023
mainnet,0xe510a5851721c1c40c044afd335de8138c6ccae4,RendererPropsStorage,0.8.9,4,9/16/2022
mainnet,0xef584ab9cd3158bb09a22b0f16b214d077ee6a8c,CompressedAnimatedGifRenderer,0.8.9,2,9/16/2022
mainnet,0x65784a6dfd98975b15eb85134b55df17642414ed,CompressedAnimatedGifRenderer,0.8.9,2,9/16/2022
mainnet,0xf2f137d346d28a8f99add0b561c27bc43b83c297,Create3Factory,0.8.16,2,6/15/2023
mainnet,0xd420ea5a1981db5f1914954ce6e012a3bb10c015,DeterministicFactory,0.8.7,34,9/22/2022
mainnet,0x3a2739680c6f5630a72ba2dd1758b2fdf6b5cebc,DataStorage,0.8.9,3,10/31/2022
mainnet,0x56601dfac46d07a21207c0bbc58b0bbc16691b44,ConveyorRouterV1,0.8.20,16,7/13/2023
goerli,0x69420000813e88ea1900125e91b61e1028c4c978,NuggftV1,0.8.17,8,2/05/2023
goerli,0xb8dd8d089afd27ed305d21f7aeafd5dcf4568d55,Create3Deployer,0.8.13,2,7/28/2022
goerli,0xbb681d77506df5ca21d2214ab3923b4c056aa3e2,DeterministicFactory,0.8.7,7,5/10/2022
goerli,0xd7a59e4d53f08ae80f8776044a764d97cd96decb,Factory,0.8.17,1,12/02/2022
goerli,0x69420000ecb378d7967888a49313505aa0ffe5fb,NuggftV1,0.8.17,8,11/04/2022
goerli,0x973d4bcb9c6b745f1790bf105c5bef3d808be95c,CollectorDeployer,0.8.14,2,5/31/2022
goerli,0x5243637e60a2209010af611a8079a72312b40654,CollectorDeployer,0.8.14,3,5/31/2022
goerli,0x69420000bad0605988626169e32aa82fb3981add,NuggftV1,0.8.17,43,11/06/2022
goerli,0x694200004d9c49cb6a441a92b83ff71afdc7d52f,NuggftV1,0.8.17,1,11/06/2022
goerli,0x5a297b1764a1860074aaf50046b20943208ecc3e,BluntDelegateCloner,0.8.17,1,1/11/2023
goerli,0x818f735c989245600d1c1d2c1933b803acc4b82e,DotnuggV1,0.8.14,0,6/20/2022
goerli,0x69420000ac2bdb9be0d3ad607dc85b1c10f653ac,NuggftV1,0.8.14,42,6/20/2022
goerli,0xcaa90b936c9de1845d9ad1342a56aeb38083e104,DotnuggV1,0.8.14,0,6/20/2022
goerli,0x6942000005e990de411369f748ebe94d360687d5,NuggftV1,0.8.14,1,6/20/2022
