network,factory address,metamorphic contract address,capable of metamorphosis,undergone metamorphosis
mainnet,0x47b9d09fd8a6B3736F0C532682cC8e1E7E635dbB,0xd1c300000000b961df238700ef00600097000049,1,0
mainnet,0x47b9d09fd8a6B3736F0C532682cC8e1E7E635dbB,0x00f8d52A00f60094ebF903cE0000DEFB00f20000,0,1
mainnet,0x47b9d09fd8a6B3736F0C532682cC8e1E7E635dbB,0x00f8d52A00f60094ebF903cE0000DEFB00f20000,0,1
mainnet,0x47b9d09fd8a6B3736F0C532682cC8e1E7E635dbB,0xD1C300000000B961dF238700EF00600097000049,1,0
mainnet,0x47b9d09fd8a6B3736F0C532682cC8e1E7E635dbB,0x000000009B988FbecFd83C55252f78592E609648,0,1
mainnet,0x9e6Fad864961806D1635d448Af05865dE5640fEa,0xa95e0c514b5ea47bafd2a08158d898f1bd674dea,1,0
mainnet,0x9e6Fad864961806D1635d448Af05865dE5640fEa,0xa7044f2b74c6d4b6a3a0e7012e6674ce7975529b,1,0
mainnet,0x3358614DA7453F565554df679Af3994Bb2405192,0x000000000000084e91743124a982076c59f10084,0,1
mainnet,0x3358614DA7453F565554df679Af3994Bb2405192,0x000000000000740A22fA209CF6806D38f7605385,0,1
mainnet,0x19bf8bedc2bbdcfd2b8f287f4120e4e50ddbca4b,0x009EeDE3040800db000064AB00Bd00f1A3000B38,0,1
mainnet,0x19bf8bedc2bbdcfd2b8f287f4120e4e50ddbca4b,0x3e44831141c6e180289d9556ef4b922e4ebd10ba,1,0
mainnet,0x19bf8bedc2bbdcfd2b8f287f4120e4e50ddbca4b,0x009eede3040800db000064ab00bd00f1a3000b38,0,1
mainnet,0xc42462665F523C0E6EF57A6Ba56e60e1cD667231,0x49307d775728daf1d4736ab762de0cefd035e323,0,1
mainnet,0x055658Fa70d40a5fA3d0e3e66c29F7E7ADd08553,0x1d6E8BAC6EA3730825bde4B005ed7B2B39A2932d,0,1
mainnet,0x62a86D2850Ee76B579637f860DcF295692b62b54,0x1b3006d57d5d9653a4ecaea6cfb0fd72a1537cc9,0,1
mainnet,0x50f9cf6E81b3fA9D83A146a91E09afC39cE51F13,0x000000000000F095b1B50De78b7a6bC4697b2927,0,1
mainnet,0xc42462665F523C0E6EF57A6Ba56e60e1cD667231,0x49307d775728dAF1d4736ab762DE0ceFd035e323,0,1
mainnet,0xa728165138a90c9403aa9a22053daa34b0302f42,0x55eb58655f8202FF839487886FEDBa2a1Eb7b2d7,0,1
mainnet,0x6c0644Ad0D3a961608BA5459bCe291400E3207Ef,0x00000000751edf02c727ea9d0c1c8e64f169e343,0,1
mainnet,0x167f2d3222E2c27CA5E3D49c17eA41B13fcDc104,0x000000000000D736BD9b915d8fE98e9c507dF85a,0,1
mainnet,0x56Adb9b1Ee78f91Aab84C29aB4225270D8E71fA2,0x000000000003C42172c0bdd69D6aFB6b0Bf4b488,0,1
mainnet,0xb8eea0963f9535a62b55C1417853d112cD93d78b,0x000000005736775Feb0C8568e7DEe77222a26880,0,1
mainnet,0x00000000c9329EAb0edE00C18accAD77DB00AA73,0x000000000073b6EeB97a1B007Fa833561B10Be1E,1,0
mainnet,0x00000000c9329EAb0edE00C18accAD77DB00AA73,0x000000009042b40070C8f83BFf1293005Dc25257,0,1
mainnet,0x00000000c9329EAb0edE00C18accAD77DB00AA73,0x000000000035a5B6BBb4618338CB65f9b3dc1600,1,0
mainnet,0x00000000002B13cCcEC913420A21e4D11b2DCd3C,0x0e368aa8E38cA2080c82C0ddb06B7D613e871c7D,1,0
mainnet,0x5D462DA79064c82004Ac913179558C3106255d5B,0x00000000002bde777710c370e08fc83d61b2b8e1,0,1
mainnet,0x5D462DA79064c82004Ac913179558C3106255d5B,0x000000000000a32dc5dd625c107898a1c72ad34a,0,1
mainnet,0x5D462DA79064c82004Ac913179558C3106255d5B,0x00000000005af5bf8581e5143248bcf395abb892,0,1
mainnet,0x0000000000C9DEE93D7eca6a304A192b4487482E,0x00000000003b3cc22af3ae1eac0440bcee416b40,0,1
mainnet,0x0000000000C9DEE93D7eca6a304A192b4487482E,0xd2a2390c07fbed63a3953379c7ed338367ae174f,1,0
mainnet,0x0000000000C9DEE93D7eca6a304A192b4487482E,0x00000000008c4fb1c916e0c88fd4cc402d935e7d,0,1
mainnet,0x0000000000C9DEE93D7eca6a304A192b4487482E,0xe3e53f468d5658d217412203463246af76d7db37,1,0
mainnet,0x0000000000C9DEE93D7eca6a304A192b4487482E,0x845a1da0c727afd5a895bcea24afa2424186c145,1,0
mainnet,0x0000000000C9DEE93D7eca6a304A192b4487482E,0x00000000003503bad07dc2c8027052c5880d46cc,0,1
mainnet,0x0000000000C9DEE93D7eca6a304A192b4487482E,0x00000000008c4fb1c916e0c88fd4cc402d935e7d,0,1
mainnet,0x0000000000C9DEE93D7eca6a304A192b4487482E,0x0000000000a680073b2eee93abeb4af4d4a096f8,1,0
mainnet,0x5aaa33de85c9daea4f9e216be937409849f80ecd,0x00000000032962B51589768828ad878876299E14,0,1
mainnet,0x5aaa33de85c9daea4f9e216be937409849f80ecd,0x000000000035b5e5ad9019092c665357240f594e,0,1
mainnet,0x5aaa33de85c9daea4f9e216be937409849f80ecd,0x0000000099cb7fc48a935bceb9f05bbae54e8987,0,1
mainnet,0x5aaa33de85c9daea4f9e216be937409849f80ecd,0x00000000a1F2d3063Ed639d19a6A56be87E25B1a,1,0
mainnet,0xe886ef0d58dc6aa1abe20a0d262559d50e2f2400,0xC65433d2a598c323e04fD143566b08609Af008DC,0,1
mainnet,0xe886ef0d58dc6aa1abe20a0d262559d50e2f2400,0x55eb58655f8202FF839487886FEDBa2a1Eb7b2d7,0,1
mainnet,0xe886ef0d58dc6aa1abe20a0d262559d50e2f2400,0x577a32AA9C40cF4266E49fC1e44c749c356309bd,0,1
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x00000023c10000eecB940000b914CDFD76Cc83D1,0,1
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x0000001D0000F38CC10d0028474a9c180058B091,0,1
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x000000000000521Fa5ddD7611A38f9DC280CD2F2,0,1
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x000000002858fFb63b7576Be62065ff77E9bC9e1,0,1
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0xF33E9d202d2387C908B87f93979bc6CF2987662c,0,1
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x4736B02DB015DCD1A57a69c889D073b100000000,0,1
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0xA2567700005ee6c889f1006500b4D5B75b008eD9,0,1
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x9B67C5350962D772e9d724573d8B50c7293e5572,1,0
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x99505fa247b4400d411414176732c76587a40c13,0,1
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x00003fc35E6700306FF200fbE9Af00460000006b,0,1
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x7F3c000e8a000000003e8d379d6A41439C000000,0,1
